gene	rxnID	formula	annotation_uniprot	main_met_mnx	other_met	annotation_SGD	ec_SGD	protein_name_SGD	ec_uniprot	protein_name_uniprot	Annotation_score	reaction_uniprot	annotation_kegg	ec_kegg	annotation_biocyc	annotation_reactome	TC_number	annotation_TCDB	subunit
YJR152W	r_4404	H+[e] + Gly-Asn[e] <=> H+[c] + Gly-Asn[c]	 Component of the allantoate transport system.	MNXM55268	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4404	H+[e] + Gly-Asn[e] <=> H+[c] + Gly-Asn[c]	 Uptake of small peptides.	MNXM55268	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJR152W	r_4408	H+[e] + Ala-Glu[e] <=> H+[c] + Ala-Glu[c]	 Component of the allantoate transport system.	MNXM4026	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4408	H+[e] + Ala-Glu[e] <=> H+[c] + Ala-Glu[c]	 Uptake of small peptides.	MNXM4026	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJR152W	r_4424	H+[e] + Gly-Gln[e] <=> H+[c] + Gly-Gln[c]	 Component of the allantoate transport system.	MNXM55276	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4424	H+[e] + Gly-Gln[e] <=> H+[c] + Gly-Gln[c]	 Uptake of small peptides.	MNXM55276	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJR152W	r_4429	H+[e] + Ala-His[e] <=> H+[c] + Ala-His[c]	 Component of the allantoate transport system.	MNXM40496	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4429	H+[e] + Ala-His[e] <=> H+[c] + Ala-His[c]	 Uptake of small peptides.	MNXM40496	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJR152W	r_4437	H+[e] + Gly-Glu[e] <=> H+[c] + Gly-Glu[c]	 Component of the allantoate transport system.	MNXM55454	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4437	H+[e] + Gly-Glu[e] <=> H+[c] + Gly-Glu[c]	 Uptake of small peptides.	MNXM55454	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJR152W	r_4448	H+[e] + Met-Ala[e] <=> H+[c] + Met-Ala[c]	 Component of the allantoate transport system.	MNXM61647	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4448	H+[e] + Met-Ala[e] <=> H+[c] + Met-Ala[c]	 Uptake of small peptides.	MNXM61647	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YDR093W	r_4457	H+[e] + O-phosphoethanolamine[e] <=> H+[c] + O-phosphoethanolamine[c]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids. Required for protein transport from Golgi to vacuoles. {ECO:0000269|PubMed:12221123}.	MNXM187	h+	"Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to endocytosis, protein transport, and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF2 has a paralog, DNF1, that arose from the whole genome duplication"	3.6.3.1	Aminophospholipid translocase (flippase)	3.6.3.1	Phospholipid-transporting ATPase DNF2 (EC 3.6.3.1) (Flippase DNF2)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DNF2; aminophospholipid-translocating P4-type ATPase DNF2"	3.6.3.1	Drs2 Neo1 Family	"P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane"	3.A.3.8.5	Probable phospholipid-transporting ATPase DNF2 (EC 3.6.3.1) - Saccharomyces cerevisiae (Baker's yeast)	FALSE
YDR342C	r_4468	2-deoxy-D-ribose[e] <=> 2-deoxy-D-ribose[c]	 High-affinity glucose transporter.	MNXM2474	none	"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	High-affinity hexose transporter HXT7	5 out of 5	NA	"HXT7; hexose transporter HXT7"	NA	HeXose Transporter	NA	2.A.1.1.31	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1	FALSE
YHR092C	r_4468	2-deoxy-D-ribose[e] <=> 2-deoxy-D-ribose[c]	 Low-affinity glucose transporter. Can also transport xylose. {ECO:0000269|PubMed:17180689}.	MNXM2474	none	"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1)	5 out of 5	NA	"HXT4, LGT1, RAG1; hexose transporter HXT4"	NA	HeXose Transporter	NA	2.A.1.1.30	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR039W	r_4469	H+[e] + L-citrulline[e] <=> H+[c] + L-citrulline[c]	 General amino-acid permease involved in the uptake of all the naturally occurring L-amino-acids, related compounds such as ornithine and citrulline, some D-amino acids, toxic amino acid analogs such as azetidine-2-carboxylate, and the polyamines putrescine and spermidine (PubMed:5474888, PubMed:10467005, PubMed:10373490, PubMed:10953083, PubMed:14968425, PubMed:15707981). Senses its transport substrates to set an appropriate level of transporter activity at the cell surface (PubMed:21471002). Required for FLO11 expression and invasive growth (PubMed:22844449). {ECO:0000269|PubMed:10373490, ECO:0000269|PubMed:10467005, ECO:0000269|PubMed:10953083, ECO:0000269|PubMed:14968425, ECO:0000269|PubMed:15707981, ECO:0000269|PubMed:21471002, ECO:0000269|PubMed:22844449, ECO:0000269|PubMed:5474888}.	MNXM211	h+	"General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth"	NA	General amino acid permease	NA	General amino-acid permease GAP1	5 out of 5	NA	"GAP1; amino acid permease GAP1"	NA	General Amino acid Permease	NA	2.A.3.10.2	General amino-acid permease GAP1 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJR152W	r_4471	H+[e] + Ala-Leu[e] <=> H+[c] + Ala-Leu[c]	 Component of the allantoate transport system.	MNXM15786	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4471	H+[e] + Ala-Leu[e] <=> H+[c] + Ala-Leu[c]	 Uptake of small peptides.	MNXM15786	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJR152W	r_4473	H+[e] + Ala-Gly[e] <=> H+[c] + Ala-Gly[c]	 Component of the allantoate transport system.	MNXM15783	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4473	H+[e] + Ala-Gly[e] <=> H+[c] + Ala-Gly[c]	 Uptake of small peptides.	MNXM15783	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YNL065W	r_4493	acetoacetate[e] <=> acetoacetate[c]	 Probable transporter that confers resistance to short-chain monocarboxylic acids and quinidine. {ECO:0000269|PubMed:11922628}.	MNXM154	none	"Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; confers resistance to short-chain monocarboxylic acids and quinidine; involved in the excretion of excess amino acids; AQR1 has a paralog, QDR1, that arose from the whole genome duplication; relocalizes from plasma membrane to cytoplasm upon DNA replication stress"	NA	Plasma membrane transporter of the major facilitator superfamily	NA	Probable transporter AQR1	4 out of 5	NA	"AQR1; Aqr1p"	NA	Acids Quinidine Resistance	NA	2.A.1.2.36	Probable transporter AQR1 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
